
2024-01-11 22:00:47 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.36, Sprzedaż: 0.39
2024-01-11 22:00:47 INFO  ApiCur:108 - pobrano dane waluty TRY: Kupno: 0.12, Sprzedaż: 0.2
2024-01-11 22:00:47 INFO  ApiCur:108 - pobrano dane waluty UAH: Kupno: 0.097, Sprzedaż: 0.105
2024-01-11 22:00:47 INFO  ApiCur:108 - pobrano dane waluty USD: Kupno: 3.96, Sprzedaż: 3.99
2024-01-11 22:00:47 INFO  ApiCur:117 - Pobieranie danych zakończone sukcesem.
2024-01-11 22:00:47 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/652480-kantor-house
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.61, Sprzedaż: 2.7
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.92, Sprzedaż: 2.99
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty CHF: Kupno: 4.63, Sprzedaż: 4.66
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty CNY: Kupno: 0.46, Sprzedaż: 0.59
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty CZK: Kupno: 0.171, Sprzedaż: 0.177
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.46, Sprzedaż: 0.52
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.33, Sprzedaż: 4.355
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 5.01, Sprzedaż: 5.05
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty GEL: Kupno: 1.436, Sprzedaż: 1.75
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty HUF: Kupno: 0.01, Sprzedaż: 0.0118
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty ILS: Kupno: 0.75, Sprzedaż: 1
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty NOK: Kupno: 0.27, Sprzedaż: 0.35
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty RON: Kupno: 0.835, Sprzedaż: 0.93
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.35, Sprzedaż: 0.39
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty TRY: Kupno: 0.125, Sprzedaż: 0.18
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty UAH: Kupno: 0.1, Sprzedaż: 0.108
2024-01-11 22:00:48 INFO  ApiCur:108 - pobrano dane waluty USD: Kupno: 3.95, Sprzedaż: 3.975
2024-01-11 22:00:48 INFO  ApiCur:117 - Pobieranie danych zakończone sukcesem.
2024-01-11 22:00:48 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/707917-kantor-centrum
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty AED: Kupno: 1.042, Sprzedaż: 1.146
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty ALL: Kupno: 0.0421, Sprzedaż: 0.0487
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty AMD: Kupno: 0.009, Sprzedaż: 0.0134
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty ARS: Kupno: 0.0031, Sprzedaż: 0.023
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.622, Sprzedaż: 2.687
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty AZN: Kupno: 2.202, Sprzedaż: 2.661
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BAM: Kupno: 2.303, Sprzedaż: 2.595
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BDT: Kupno: 0.0202, Sprzedaż: 0.0349
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BGN: Kupno: 2.212, Sprzedaż: 2.378
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BHD: Kupno: 7.7, Sprzedaż: 11.7
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BOB: Kupno: 0.44, Sprzedaż: 0.74
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BRL: Kupno: 0.827, Sprzedaż: 0.985
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BWP: Kupno: 0.184, Sprzedaż: 0.37
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty BYN: Kupno: 0.835, Sprzedaż: 1.38
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.932, Sprzedaż: 2.979
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CHF: Kupno: 4.604, Sprzedaż: 4.667
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CLP: Kupno: 0.0036, Sprzedaż: 0.0055
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CNY: Kupno: 0.523, Sprzedaż: 0.605
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty COP: Kupno: 0.0006, Sprzedaż: 0.0012
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CRC: Kupno: 0.0051, Sprzedaż: 0.0099
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty CZK: Kupno: 0.1722, Sprzedaż: 0.1775
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.473, Sprzedaż: 0.557
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty DOP: Kupno: 0.0737, Sprzedaż: 0.0915
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty EGP: Kupno: 0.09, Sprzedaż: 0.158
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty EUB: Kupno: 3.35, Sprzedaż: 4.3
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.287, Sprzedaż: 4.353
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 4.965, Sprzedaż: 5.052
2024-01-11 22:00:49 INFO  ApiCur:108 - pobrano dane waluty GEL: Kupno: 1.453, Sprzedaż: 1.738
